SITE,YEAR,MONTH,MAIN_CATEGORY,SUB_CATEGORY,TOTAL_VIEWS,TOTAL_PURCHASES
amazon.com,21,1,Sports & Outdoors,Sports & Outdoors - Sports & Fitness,171240281.203887,9291253.60929381
amazon.com,21,1,"Arts, Crafts & Sewing","Arts, Crafts & Sewing - Painting, Drawing & Art Supplies",18822799.1160268,1558768.97750048
amazon.com,21,1,Toys & Games,Toys & Games - Hobbies,14503154.9955277,680408.996350568
amazon.com,21,1,Tools & Home Improvement,Tools & Home Improvement - Building Supplies,15415625.6237785,988284.064287207
amazon.com,21,1,Video Games,Video Games - PC,45999784.4367967,1589347.36168352
amazon.com,21,1,Books,N/A,15265748.9004228,671031.110898084
amazon.com,21,1,CDs & Vinyl,CDs & Vinyl - Soundtracks,697202.978719388,22052.799292651
amazon.com,21,1,All Electronics,N/A,1552809.32130595,65627.753077824
amazon.com,21,1,"Patio, Lawn & Garden","Patio, Lawn & Garden - Outdoor Décor",12736699.2873228,1023758.96320731
amazon.com,21,1,Health & Household,Health & Household - Vision,3156778.48568044,349496.938631354
amazon.com,21,1,Toys & Games,Toys & Games - Games & Accessories,32329958.4343503,1835202.45902078
amazon.com,21,1,Kindle Store,Kindle Store - Kindle eBooks,107716088.832603,283868.235396124
amazon.com,21,1,Beauty & Personal Care,Beauty & Personal Care - Makeup,14121497.7624952,1051756.48584683
amazon.com,21,1,Books,Books - Reference,6353548.11629475,316592.593447098
amazon.com,21,1,Toys & Games,Toys & Games - Kids' Electronics,5509410.7056637,278331.590719047
amazon.com,21,1,Amazon Music Unlimited,Amazon Music Unlimited - Prime Music,28462.166214193,215.324222017
amazon.com,21,1,Grocery,N/A,2906923.89999003,758160.876839416
amazon.com,21,1,Industrial & Scientific,Industrial & Scientific - Janitorial & Sanitation Supplies,2396946.731937,172712.659946086
amazon.com,21,1,Home & Kitchen,Home & Kitchen - Seasonal Décor,7068645.0307353,496126.000947857
amazon.com,21,1,"Patio, Lawn & Garden","Patio, Lawn & Garden - Patio Furniture & Accessories",6080215.24581584,243236.038224371
amazon.com,21,1,"Patio, Lawn & Garden","Patio, Lawn & Garden - Outdoor Heating & Cooling",2042190.4492504,108161.72905241
amazon.com,21,1,CDs & Vinyl,CDs & Vinyl - Latin Music,53201.433050157,2731.447300245
amazon.com,21,1,"Arts, Crafts & Sewing","Arts, Crafts & Sewing - Scrapbooking & Stamping",5021770.93388004,377328.626790028
amazon.com,21,1,Lab & Scientific Products,Lab & Scientific Products - Lab Instruments & Equipment,76619.671074493,2377.213354559
amazon.com,21,1,Baby Products,Baby Products - Safety,2677665.3544082,205587.881965466
amazon.com,21,1,Grocery & Gourmet Food,Grocery & Gourmet Food - Home Brewing & Winemaking,161826.029424576,41437.14788585
amazon.com,21,1,Industrial & Scientific,N/A,870678.080391966,67049.229261099
amazon.com,21,1,Grocery & Gourmet Food,Grocery & Gourmet Food - Breakfast Foods,3702723.66546829,1420242.57189106
amazon.com,21,1,Software,Software - Programming & Web Development,20055.619231098,1395.569049894
amazon.com,21,1,Home Audio & Theater,N/A,961048.460460236,44948.39422365
amazon.com,21,1,Musical Instruments,"Musical Instruments - Electronic Music, DJ & Karaoke",2236561.82485238,76118.91176167
amazon.com,21,1,CDs & Vinyl,CDs & Vinyl - Comedy & Spoken Word,53321.526578487,2107.973517544
amazon.com,21,1,Baby,N/A,326354.163236575,20792.196934779
amazon.com,21,1,Industrial & Scientific,Industrial & Scientific - Robotics,36808.666433122,1713.755764696
amazon.com,21,1,Grocery & Gourmet Food,Grocery & Gourmet Food - Cooking & Baking,7085.518171466,2916.264983395
amazon.com,21,1,Pet Supplies,Pet Supplies - Top Dog Supplies,108144.222261099,11509.165001385
amazon.com,21,1,Movies & TV,Movies & TV - 3-6 Years,37649.321131432,1513.783616727
amazon.com,21,1,Handmade,Handmade - Gifts,180.140292495,3.027497207
amazon.com,21,1,Instrument Accessories,Instrument Accessories - Drum & Percussion Accessories,24078.75243015,1339.687143891
amazon.com,21,1,Pet Supplies,Pet Supplies - V4 Customers Keep It - 30%,22097.209212706,3383.549739198
amazon.com,21,1,Movies & TV,Movies & TV - Disney Home Video,26420.576232584,381.678799928
amazon.com,21,1,Pet Supplies,Pet Supplies - Specialty Pet Food,1260.982047464,154.641220672
amazon.com,21,1,Baby Products,Baby Products - Baby Stationery,600.46764165,30.287840595
target.com,22,6,Target,Target - Holiday Shop,595124.51082433,37197.043888981
target.com,22,6,Target,Target - Pets,1037235.0327373,114840.367939746
amazon.com,21,3,Baby Products,Baby Products - Baby Care,3429628.63269189,374176.086571224
amazon.com,21,3,"Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry - Girls",17453186.6796914,1000688.98304907
amazon.com,21,3,Office Products,Office Products - Office & School Supplies,93750040.6552817,9885002.44962187
amazon.com,21,3,Toys & Games,Toys & Games - Stuffed Animals & Plush Toys,10545110.5591757,474136.696831771
amazon.com,21,3,Automotive,Automotive - Tires & Wheels,4593313.15757668,251179.259089562
amazon.com,21,3,Pet Supplies,Pet Supplies - Cats,20550537.8915832,2554381.1837005
amazon.com,21,3,Electronics,Electronics - Security & Surveillance,4251937.94769607,230722.610325546
amazon.com,21,3,Small Appliance Parts & Accessories,Small Appliance Parts & Accessories - Coffee & Espresso Machine Parts & Accessories,1592707.71584258,212574.524694939
amazon.com,21,3,Pet Supplies,Pet Supplies - Pet Birthday,39185.901987689,5286.834528121
amazon.com,21,3,Software,Software - Lifestyle & Hobbies,75041.894246531,3156.151530466
amazon.com,21,3,Video Games,Video Games - Nintendo 3DS & 2DS,1258586.95215695,49148.14001214
amazon.com,21,3,Electronics,Electronics - Video Projectors,2667673.93152307,71461.667685042
amazon.com,22,1,Books,N/A,13156307.4710896,628295.131924023
amazon.com,22,1,Health & Personal Care,N/A,3343665.37408192,300980.016246011
amazon.com,21,1,Tools & Home Improvement,Tools & Home Improvement - Power & Hand Tools,53977957.8043387,3491128.1414641
amazon.com,21,1,Books,Books - Self-Help,5890347.37752623,277205.259810147
amazon.com,21,1,Industrial & Scientific,Industrial & Scientific - Professional Dental Supplies,354636.189158273,36539.259822643
amazon.com,21,1,Beauty & Personal Care,Beauty & Personal Care - Oral Care,13938054.8979713,1734369.78235734
amazon.com,21,1,Beauty & Personal Care,Beauty & Personal Care - Fragrance,3896614.66695696,223999.048266184
amazon.com,21,1,Toys & Games,Toys & Games - Play Vehicles,4700220.51177666,246818.620484076
amazon.com,21,1,Collectibles & Fine Art,Collectibles & Fine Art - Entertainment,279397.593659574,4472.655111671
amazon.com,21,1,Software,N/A,92952.390927363,5062.66222959
amazon.com,21,1,Baby Products,Baby Products - Travel Gear,563719.021980674,27054.227585116
amazon.com,21,1,Video Games,Video Games - PlayStation 5,9147163.7723055,112003.846231911
amazon.com,21,1,Books,"Books - Lesbian, Gay, Bisexual & Transgender Books",400692.057272799,18162.733671574
amazon.com,21,1,Appliances,Appliances - Dishwashers,322871.450915007,7458.47973628
amazon.com,21,1,Movies & TV,Movies & TV - Docurama,5284.115246517,152.421162931
amazon.com,21,1,Pet Supplies,Pet Supplies - Pets Low Return Rate Alert,17413.561607839,2624.362868801
amazon.com,21,1,Musical Instruments,Musical Instruments - Stringed Instruments,59266.156230819,1251.595107127
amazon.com,21,1,Pet Supplies,Pet Supplies - Dog Harnesses,23057.957439346,1310.373302909
amazon.com,21,1,CDs & Vinyl,CDs & Vinyl - Reggae,36448.385848133,2576.726491478
amazon.com,21,1,Handmade,Handmade - Jewelry,3782.946142393,39.191166171
amazon.com,21,1,Premium Beauty,N/A,85986.966284227,8697.59458632
amazon.com,21,1,Software,Software - Video,90190.239775775,2786.366490177
amazon.com,21,1,Grocery & Gourmet Food,"Grocery & Gourmet Food - Dried Beans, Grains & Rice",720.56116998,506.454187115
amazon.com,21,1,Heavy Duty & Commercial Vehicle Equipment,Heavy Duty & Commercial Vehicle Equipment - Heavy Duty & Commercial Vehicles Parts,17653.748664499,271.208101342
amazon.com,21,1,Department,Department - Books,3842.992906558,321.749137878
target.com,22,6,N/A,N/A,2302571.33141875,141525.619492956
target.com,22,6,Target,Target - College,212116.299404961,17290.611904168
bestbuy.com,22,3,Best Buy,Best Buy - Customer Service,71986.965823437,4654.810460806
amazon.com,21,3,Beauty & Personal Care,Beauty & Personal Care - Hair Care,40006427.4224816,3509572.65732047
amazon.com,21,3,Car Electronics,N/A,68501.000136294,1966.431517106
amazon.com,21,3,Electronics,Electronics - Accessories & Supplies,43630796.3116373,4776355.99812816
amazon.com,21,3,Musical Instruments,Musical Instruments - Studio Recording Equipment,7777777.18648216,254601.426235534
amazon.com,21,3,Electronics,Electronics - Television & Video,13587577.7232154,493353.474921311
amazon.com,21,3,Home & Kitchen,Home & Kitchen - Vacuums & Floor Care,11550327.0585716,827534.681545663
amazon.com,21,3,"Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry - Luggage & Travel Gear",13164917.0383466,606883.343738564
amazon.com,21,3,"Arts, Crafts & Sewing","Arts, Crafts & Sewing - Fabric",2370182.17485477,126846.629726154
amazon.com,21,3,Toys & Games,Toys & Games - Learning & Education,4750413.54156982,314856.240528182
amazon.com,21,3,Beauty & Personal Care,Beauty & Personal Care - Makeup,13964452.1493124,1102970.17820381
amazon.com,21,3,"Arts, Crafts & Sewing","Arts, Crafts & Sewing - Needlework",1031974.70257412,71402.145912287
amazon.com,21,3,Tools & Home Improvement,Tools & Home Improvement - Welding & Soldering,4420633.55306644,331096.664317739
amazon.com,21,3,Industrial & Scientific,Industrial & Scientific - Raw Materials,1572490.40677457,98037.070449163
amazon.com,21,3,Health & Household,Health & Household - Sexual Wellness,9338791.29722695,747619.707903839
amazon.com,21,3,Health & Household,Health & Household - Vision,3659154.55328746,435435.451653991
amazon.com,21,3,Toys & Games,Toys & Games - Building Toys,11962224.9994953,359378.72642841
amazon.com,21,3,Musical Instruments,Musical Instruments - Band & Orchestra,832299.044190723,25802.534462541
amazon.com,21,3,Handmade Products,Handmade Products - Jewelry,845915.996474761,41423.718853516
amazon.com,21,3,Hobbies,Hobbies - Remote & App Controlled Vehicles & Parts,310751.932909961,20391.741601113
amazon.com,21,3,Video Games,Video Games - PlayStation 5,7372836.37838479,102688.748184009
amazon.com,21,3,Pet Supplies,Pet Supplies - Dog Stocking Stuffers: Toys & Treats,44656.467970796,4943.551155803
amazon.com,21,3,Cell Phones & Accessories,Cell Phones & Accessories - SIM Cards & Prepaid Minutes,459943.781297081,31878.05823723
amazon.com,21,3,Food Service Equipment & Supplies,Food Service Equipment & Supplies - Restaurant Appliances & Equipment,135039.732039518,4765.846557609
amazon.com,21,3,Home & Kitchen,Home & Kitchen - Kids' Home Store,79739.445471155,5980.182710359
amazon.com,21,3,Pet Supplies,Pet Supplies - Pet Behavior Center,17303.638055262,1243.900736948
amazon.com,22,1,Books,Books - Comics & Graphic Novels,10631787.9919789,543714.126298442
amazon.com,22,1,Handmade Products,Handmade Products - Home & Kitchen,2011817.22524427,81559.708968173
amazon.com,22,1,Beauty & Personal Care,Beauty & Personal Care - Hair Care,41029151.047687,3597145.9918065
amazon.com,22,1,Toys & Games,Toys & Games - Puzzles,8059443.88853593,611680.574675625
amazon.com,22,1,Amazon Home,N/A,5576621.75243726,344317.314377479
amazon.com,22,1,"Arts, Crafts & Sewing","Arts, Crafts & Sewing - Beading & Jewelry Making",8908828.3146991,647460.170210081
amazon.com,22,1,CDs & Vinyl,CDs & Vinyl - Soundtracks,592993.511688962,22243.592575729
amazon.com,22,1,"Arts, Crafts & Sewing","Arts, Crafts & Sewing - Model & Hobby Building",6641415.92580145,311338.784269286
amazon.com,22,1,Sports & Outdoors,Sports & Outdoors - Sports & Fitness,3115046.16325498,190338.747143321
amazon.com,22,1,CDs & Vinyl,CDs & Vinyl - Indie & Alternative,944397.07417131,46538.494444228
amazon.com,22,1,Electronics,Electronics - Portable Audio & Video,11870772.0200247,647364.758140922
amazon.com,21,1,Handmade Products,Handmade Products - Beauty & Grooming,156902.194763049,8408.444661301
amazon.com,21,1,Software,Software - Music,24679.2200718,605.474603426
amazon.com,21,1,Magazine Subscriptions,Magazine Subscriptions - Automotive & Motorcycles,20055.619231098,1268.582559166
amazon.com,21,1,Video Games,Video Games - Wii,900.701462474,27.235166926
amazon.com,21,1,Software,Software - Networking & Servers,24318.93948681,1017.891913082
amazon.com,21,1,Audible Books & Originals,Audible Books & Originals - Business & Careers,1441.122339959,18.312806855
